caseid,activity,ts,noise
0,start_event_Loan  application received,2017-09-15 14:46:25.000,
1,start_event_Loan  application received,2017-09-16 17:53:23.799,
2,start_event_Loan  application received,2017-09-17 15:54:20.813,
3,start_event_Loan  application received,2017-09-19 13:30:01.499,
4,start_event_Loan  application received,2017-09-20 00:55:28.622,
5,start_event_Loan  application received,2017-09-20 10:57:43.343,
6,start_event_Loan  application received,2017-09-20 21:19:25.477,
7,start_event_Loan  application received,2017-09-21 15:13:47.473,
8,start_event_Loan  application received,2017-09-21 20:35:05.535,
9,start_event_Loan  application received,2017-09-22 11:57:27.982,
10,start_event_Loan  application received,2017-09-23 13:11:39.677,
11,Assess eligibility,2017-09-23 18:54:53.721,True
12,start_event_Loan  application received,2017-09-24 20:58:14.298,
13,start_event_Loan  application received,2017-09-25 10:48:19.971,
14,end_event_Loan application rejected,2017-09-25 20:40:22.701,True
15,Check  application  form completeness,2017-09-26 02:00:03.382,True
16,start_event_Loan  application received,2017-09-27 20:21:00.688,
17,start_event_Loan  application received,2017-09-28 06:52:29.228,
18,start_event_Loan  application received,2017-09-28 15:21:30.488,
19,start_event_Loan  application received,2017-09-29 03:02:11.413,
20,start_event_Loan  application received,2017-10-01 09:45:56.206,
21,start_event_Loan  application received,2017-10-02 04:21:19.863,
22,start_event_Loan  application received,2017-10-03 13:43:01.069,
23,start_event_Loan  application received,2017-10-04 12:51:59.514,
24,start_event_Loan  application received,2017-10-04 17:23:31.456,
25,start_event_Loan  application received,2017-10-05 02:56:19.723,
26,start_event_Loan  application received,2017-10-06 01:23:22.441,
27,start_event_Loan  application received,2017-10-06 09:46:08.846,
28,start_event_Loan  application received,2017-10-06 20:39:48.169,
29,start_event_Loan  application received,2017-10-07 01:24:11.048,
30,start_event_Loan  application received,2017-10-08 00:12:40.545,
31,start_event_Loan  application received,2017-10-08 05:14:45.693,
32,start_event_Loan  application received,2017-10-10 05:05:57.630,
33,start_event_Loan  application received,2017-10-10 09:26:53.368,
34,start_event_Loan  application received,2017-10-13 07:32:01.783,
35,start_event_Loan  application received,2017-10-13 08:55:17.380,
36,start_event_Loan  application received,2017-10-13 13:11:33.848,
37,start_event_Loan  application received,2017-10-13 19:32:27.030,
38,start_event_Loan  application received,2017-10-13 20:00:57.087,
39,start_event_Loan  application received,2017-10-13 21:24:12.783,
40,start_event_Loan  application received,2017-10-18 03:40:40.277,
41,start_event_Loan  application received,2017-10-20 17:47:37.731,
42,start_event_Loan  application received,2017-10-24 19:13:40.373,
43,start_event_Loan  application received,2017-10-25 16:55:04.383,
44,start_event_Loan  application received,2017-10-25 20:14:49.452,
45,start_event_Loan  application received,2017-10-30 16:40:50.079,
46,start_event_Loan  application received,2017-10-30 17:54:04.760,
47,start_event_Loan  application received,2017-10-31 13:54:35.623,
48,start_event_Loan  application received,2017-11-01 05:44:48.861,
49,start_event_Loan  application received,2017-11-01 08:04:09.785,
50,Receive updated application,2017-11-01 18:22:51.913,True
51,start_event_Loan  application received,2017-11-01 14:15:17.845,
52,start_event_Loan  application received,2017-11-01 16:40:00.955,
53,start_event_Loan  application received,2017-11-03 05:23:55.037,
54,start_event_Loan  application received,2017-11-03 14:04:46.801,
55,start_event_Loan  application received,2017-11-04 23:00:02.424,
56,start_event_Loan  application received,2017-11-06 22:05:40.381,
57,start_event_Loan  application received,2017-11-07 04:23:21.630,
58,start_event_Loan  application received,2017-11-08 21:43:56.161,
59,start_event_Loan  application received,2017-11-13 03:36:28.264,
60,start_event_Loan  application received,2017-11-14 20:18:12.703,
61,start_event_Loan  application received,2017-11-15 16:27:18.350,
62,start_event_Loan  application received,2017-11-15 16:41:17.101,
63,Verify repayment agreement,2017-11-16 09:16:35.981,True
64,start_event_Loan  application received,2017-11-16 12:39:17.192,
65,start_event_Loan  application received,2017-11-17 10:14:09.651,
66,start_event_Loan  application received,2017-11-20 00:40:04.417,
67,start_event_Loan  application received,2017-11-21 03:18:15.980,
68,start_event_Loan  application received,2017-11-21 06:41:47.810,
69,start_event_Loan  application received,2017-11-22 09:06:48.102,
70,start_event_Loan  application received,2017-11-26 09:09:38.129,
71,start_event_Loan  application received,2017-11-26 18:42:08.010,
72,start_event_Loan  application received,2017-11-27 00:22:27.574,
73,start_event_Loan  application received,2017-11-28 03:20:18.401,
74,start_event_Loan  application received,2017-11-28 18:05:10.154,
75,start_event_Loan  application received,2017-11-28 20:11:26.460,
76,start_event_Loan  application received,2017-11-30 17:40:17.587,
77,start_event_Loan  application received,2017-12-03 14:58:26.298,
78,start_event_Loan  application received,2017-12-03 21:09:18.025,
79,start_event_Loan  application received,2017-12-04 02:33:23.832,
80,Receive updated application,2017-12-04 09:51:06.261,True
81,start_event_Loan  application received,2017-12-07 07:08:00.421,
82,Check if home insurance quote is requested,2017-12-07 21:16:38.209,True
83,start_event_Loan  application received,2017-12-10 14:20:46.561,
84,start_event_Loan  application received,2017-12-11 23:42:18.690,
85,start_event_Loan  application received,2017-12-12 16:00:09.586,
86,start_event_Loan  application received,2017-12-14 01:54:06.203,
87,start_event_Loan  application received,2017-12-15 01:44:02.934,
88,start_event_Loan  application received,2017-12-17 14:14:45.997,
89,start_event_Loan  application received,2017-12-18 11:21:36.935,
90,start_event_Loan  application received,2017-12-19 12:36:13.105,
