caseid,activity,ts,noise,outcome
2,start_event_Loan  application received,2017-09-17 15:54:20.813,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 16:24:16.679,,Return application back to applicant
2,Return application back to applicant,2017-09-17 16:37:03.839,,Receive updated application
2,Receive updated application,2017-09-17 17:20:15.949,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 17:41:31.653,,Return application back to applicant
2,Return application back to applicant,2017-09-17 18:11:01.370,,Receive updated application
2,Receive updated application,2017-09-17 19:19:45.935,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 19:33:52.247,,Check credit history
2,Check credit history,2017-09-17 21:12:48.665,,Assess loan risk
2,Assess loan risk,2017-09-17 22:36:50.611,,Appraise property
2,Appraise property,2017-09-17 22:54:34.303,,start_event_Loan  application received
2,start_event_Loan  application received,2017-09-17 22:54:34.303,True,Assess eligibility
2,Assess eligibility,2017-09-17 23:09:31.230,,Check if home insurance quote is requested
2,Check if home insurance quote is requested,2017-09-18 01:05:20.731,,Send home insurance quote
2,Send home insurance quote,2017-09-18 01:08:42.791,,Send home insurance quote
4,start_event_Loan  application received,2017-09-20 00:55:28.622,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 02:29:05.418,,Return application back to applicant
4,Return application back to applicant,2017-09-20 02:46:34.784,,Receive updated application
4,Receive updated application,2017-09-20 05:43:36.925,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 06:01:30.227,,Return application back to applicant
4,Return application back to applicant,2017-09-20 07:29:37.823,,Receive updated application
4,Receive updated application,2017-09-20 09:41:57.636,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 10:28:22.737,,Return application back to applicant
4,Return application back to applicant,2017-09-20 11:23:42.674,,Receive updated application
4,Receive updated application,2017-09-20 12:48:33.160,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 12:49:24.948,,Appraise property
4,Appraise property,2017-09-20 12:57:17.480,,Check credit history
4,Check credit history,2017-09-20 13:03:08.030,,Assess loan risk
4,Assess loan risk,2017-09-20 13:07:23.323,,Assess eligibility
4,Assess eligibility,2017-09-20 13:11:02.710,,Reject application
6,start_event_Loan  application received,2017-09-20 21:19:25.477,,Check  application  form completeness
6,Check  application  form completeness,2017-09-20 23:31:15.345,,Return application back to applicant
6,Return application back to applicant,2017-09-20 23:50:49.681,,Receive updated application
6,Receive updated application,2017-09-21 00:06:10.434,,Check  application  form completeness
6,Check  application  form completeness,2017-09-21 01:35:14.082,,Return application back to applicant
6,Return application back to applicant,2017-09-21 01:46:30.621,,Receive updated application
6,Receive updated application,2017-09-21 02:10:42.266,,end_event_Loan  application canceled
6,end_event_Loan  application canceled,2017-09-21 02:10:42.266,True,Check  application  form completeness
6,Check  application  form completeness,2017-09-21 05:00:10.590,,Return application back to applicant
6,Return application back to applicant,2017-09-21 10:18:07.977,,Check if home insurance quote is requested
6,Check if home insurance quote is requested,2017-09-21 10:18:07.977,True,Receive updated application
6,Receive updated application,2017-09-21 12:00:44.913,,Send home insurance quote
6,Send home insurance quote,2017-09-21 12:00:44.913,True,Send home insurance quote
6,Send home insurance quote,2017-09-21 12:08:15.390,True,Check  application  form completeness
6,Check  application  form completeness,2017-09-21 12:08:15.390,,Return application back to applicant
16,start_event_Loan  application received,2017-09-27 20:21:00.688,,Check  application  form completeness
16,Check  application  form completeness,2017-09-27 20:43:18.861,,Return application back to applicant
16,Return application back to applicant,2017-09-27 21:49:22.185,,Receive updated application
16,Receive updated application,2017-09-27 22:00:57.801,,Check  application  form completeness
16,Check  application  form completeness,2017-09-27 22:33:09.619,,end_event_Loan  application canceled
16,end_event_Loan  application canceled,2017-09-27 22:33:09.619,True,Return application back to applicant
