Case ID,Activity,Complete Timestamp,noise
0,start_event_Loan  application received,2017-09-15 14:46:25.000,
0,Check  application  form completeness,2017-09-15 15:43:48.785,
0,Return application back to applicant,2017-09-15 17:08:46.890,
0,Receive updated application,2017-09-15 17:40:55.076,
0,Check  application  form completeness,2017-09-15 18:45:15.781,
0,Check credit history,2017-09-15 19:44:07.482,
0,Assess loan risk,2017-09-15 21:06:09.920,
0,Appraise property,2017-09-15 22:03:27.522,
0,Assess eligibility,2017-09-15 22:46:10.531,
0,Check if home insurance quote is requested,2017-09-16 00:00:53.652,
0,Send home insurance quote,2017-09-16 00:23:38.141,
0,Verify repayment agreement,2017-09-16 00:30:13.159,
0,Approve application,2017-09-16 02:53:13.448,
0,end_event_Loan  application approved,2017-09-16 03:56:12.881,
1,start_event_Loan  application received,2017-09-15 15:53:05.997,
1,Check  application  form completeness,2017-09-15 16:19:58.094,
1,Return application back to applicant,2017-09-15 17:13:04.617,
1,Receive updated application,2017-09-15 17:44:05.130,
1,Check  application  form completeness,2017-09-15 18:56:44.880,
1,Return application back to applicant,2017-09-15 20:10:56.926,
1,Receive updated application,2017-09-15 20:19:03.645,
1,Check  application  form completeness,2017-09-15 20:51:02.230,
1,Return application back to applicant,2017-09-16 01:20:04.597,
1,Receive updated application,2017-09-16 01:58:36.775,
1,Check  application  form completeness,2017-09-16 03:12:49.552,
1,Appraise property,2017-09-16 05:07:56.336,
1,Check credit history,2017-09-16 05:41:10.514,
1,Assess loan risk,2017-09-16 05:44:34.492,
1,Assess eligibility,2017-09-16 06:02:00.309,
1,Check if home insurance quote is requested,2017-09-16 06:28:38.540,
1,Send home insurance quote,2017-09-16 09:10:46.542,
1,Verify repayment agreement,2017-09-16 09:50:05.554,
1,Approve application,2017-09-16 12:59:33.144,
1,end_event_Loan  application approved,2017-09-16 13:21:03.346,
2,start_event_Loan  application received,2017-09-16 03:20:53.855,
2,Check  application  form completeness,2017-09-16 03:38:36.804,
2,Appraise property,2017-09-16 03:43:23.725,
2,Check credit history,2017-09-16 09:14:25.078,
2,Assess loan risk,2017-09-16 11:19:40.618,
2,Assess eligibility,2017-09-16 12:55:47.002,
2,Check if home insurance quote is requested,2017-09-16 14:25:31.670,
2,Send home insurance quote,2017-09-16 14:29:03.099,
2,Verify repayment agreement,2017-09-16 14:34:30.283,
2,Cancel application,2017-09-16 15:10:32.294,
2,end_event_Loan  application canceled,2017-09-16 15:44:34.874,
3,start_event_Loan  application received,2017-09-18 14:30:46.713,
3,Check  application  form completeness,2017-09-18 14:45:40.180,
3,Appraise property,2017-09-18 14:47:40.660,
3,Check credit history,2017-09-18 15:58:58.719,
3,Assess loan risk,2017-09-18 17:42:04.923,
3,Assess eligibility,2017-09-18 17:44:48.307,
3,Reject application,2017-09-18 18:22:52.092,
3,end_event_Loan application rejected,2017-09-18 18:44:51.357,
4,Return application back to applicant,2017-09-18 18:44:51.357,true
4,start_event_Loan  application received,2017-09-19 03:04:33.813,
4,Check  application  form completeness,2017-09-19 04:06:01.716,
4,Check credit history,2017-09-19 06:25:36.407,
4,Appraise property,2017-09-19 07:05:57.981,
4,Assess loan risk,2017-09-19 08:15:06.635,
4,Verify repayment agreement,2017-09-19 08:15:06.635,true
4,Assess eligibility,2017-09-19 10:15:52.306,
4,Reject application,2017-09-19 10:43:55.386,
4,end_event_Loan application rejected,2017-09-19 11:13:21.292,
5,start_event_Loan  application received,2017-09-20 19:59:05.092,
5,Check  application  form completeness,2017-09-20 20:08:29.176,
5,Check credit history,2017-09-20 20:10:57.359,
5,Appraise property,2017-09-20 21:39:13.601,
5,Assess loan risk,2017-09-20 21:49:02.084,
5,Assess eligibility,2017-09-20 22:22:51.547,
5,Check if home insurance quote is requested,2017-09-20 23:39:15.890,
5,Send home insurance quote,2017-09-20 23:48:59.529,
5,Verify repayment agreement,2017-09-20 23:50:02.874,
5,Approve application,2017-09-20 23:59:13.529,
5,end_event_Loan  application approved,2017-09-21 03:55:07.033,
6,start_event_Loan  application received,2017-09-21 21:53:47.008,
6,Check  application  form completeness,2017-09-22 00:02:36.283,
6,Appraise property,2017-09-22 00:49:16.165,
6,Check credit history,2017-09-22 01:59:12.497,
6,Assess loan risk,2017-09-22 02:17:31.230,
6,Assess eligibility,2017-09-22 02:56:46.425,
6,Reject application,2017-09-22 04:00:09.110,
6,end_event_Loan application rejected,2017-09-22 05:13:54.009,
7,start_event_Loan  application received,2017-09-22 13:02:10.097,
7,Check  application  form completeness,2017-09-22 14:02:20.566,
7,Check credit history,2017-09-22 14:53:08.687,
7,Assess loan risk,2017-09-22 15:09:17.808,
7,Appraise property,2017-09-22 19:15:25.235,
7,Assess eligibility,2017-09-22 19:33:12.386,
7,Reject application,2017-09-22 19:58:54.851,
7,end_event_Loan application rejected,2017-09-22 21:25:57.556,
8,start_event_Loan  application received,2017-09-23 16:38:05.027,
8,Check  application  form completeness,2017-09-23 17:11:14.808,
8,Return application back to applicant,2017-09-23 17:18:16.052,
8,Receive updated application,2017-09-23 19:04:03.707,
8,Check  application  form completeness,2017-09-23 20:02:58.346,
8,Verify repayment agreement,2017-09-23 20:02:58.346,true
8,Appraise property,2017-09-23 22:08:03.372,
8,Check credit history,2017-09-23 22:23:48.954,
8,Assess loan risk,2017-09-24 00:20:30.114,
8,Assess eligibility,2017-09-24 00:53:48.019,
8,Check if home insurance quote is requested,2017-09-24 03:13:09.430,
8,Send acceptance pack,2017-09-24 03:22:08.903,
8,Verify repayment agreement,2017-09-24 03:54:03.738,
8,Cancel application,2017-09-24 05:16:17.368,
8,end_event_Loan  application canceled,2017-09-24 05:34:09.906,
9,start_event_Loan  application received,2017-09-25 00:31:15.316,
9,Check  application  form completeness,2017-09-25 01:18:20.500,
9,Appraise property,2017-09-25 02:15:22.140,
9,Check credit history,2017-09-25 06:51:11.010,
9,Assess loan risk,2017-09-25 10:22:12.958,
9,Assess eligibility,2017-09-25 10:24:17.816,
9,Reject application,2017-09-25 11:58:13.480,
9,end_event_Loan application rejected,2017-09-25 12:55:55.936,
10,start_event_Loan  application received,2017-09-25 09:38:42.307,
10,Check  application  form completeness,2017-09-25 11:16:58.663,
10,Appraise property,2017-09-25 13:03:41.028,
10,Check credit history,2017-09-25 15:54:07.839,
10,Assess loan risk,2017-09-25 16:20:38.744,
10,Assess eligibility,2017-09-25 17:24:28.666,
10,Check if home insurance quote is requested,2017-09-25 20:37:38.278,
10,Send acceptance pack,2017-09-25 20:42:12.649,
10,Verify repayment agreement,2017-09-25 20:43:16.377,
10,Cancel application,2017-09-25 22:17:17.028,
10,end_event_Loan  application canceled,2017-09-25 22:28:18.271,
11,start_event_Loan  application received,2017-09-27 01:16:59.462,
11,Check  application  form completeness,2017-09-27 01:31:33.900,
11,Appraise property,2017-09-27 02:59:11.491,
11,Check if home insurance quote is requested,2017-09-27 02:59:11.491,true
11,Check credit history,2017-09-27 04:01:57.126,
11,Assess loan risk,2017-09-27 04:05:59.648,
11,Assess eligibility,2017-09-27 04:14:17.489,
11,Reject application,2017-09-27 04:47:46.686,
11,end_event_Loan application rejected,2017-09-27 05:14:37.625,
12,start_event_Loan  application received,2017-09-27 03:19:38.062,
12,Check  application  form completeness,2017-09-27 03:55:10.292,
12,Return application back to applicant,2017-09-27 05:09:08.019,
12,Receive updated application,2017-09-27 07:39:25.536,
12,Check  application  form completeness,2017-09-27 08:27:47.126,
12,Cancel application,2017-09-27 08:27:47.126,true
12,Return application back to applicant,2017-09-27 08:48:56.171,
12,Receive updated application,2017-09-27 09:32:34.873,
12,Check  application  form completeness,2017-09-27 10:12:11.363,
12,Return application back to applicant,2017-09-27 12:35:13.884,
12,Receive updated application,2017-09-27 13:31:49.217,
12,Check  application  form completeness,2017-09-27 14:00:25.599,
12,Return application back to applicant,2017-09-27 15:18:12.561,
12,Receive updated application,2017-09-27 16:21:46.236,
12,Check  application  form completeness,2017-09-27 18:00:21.559,
12,Appraise property,2017-09-27 18:40:26.370,
12,Check credit history,2017-09-27 19:19:44.727,
12,Approve application,2017-09-27 19:19:44.727,true
12,Assess loan risk,2017-09-27 22:20:03.060,
12,Assess eligibility,2017-09-27 23:06:45.748,
12,Check if home insurance quote is requested,2017-09-27 23:28:12.798,
12,Send home insurance quote,2017-09-28 00:46:15.940,
12,Verify repayment agreement,2017-09-28 01:07:57.302,
